SKU,stock,price,msrp,rebate,sale,name,brand,category,form factor,CPU,RAM,DDR,storage,OS,GPU,VRAM,screen res.,screen type,WiFi,keyboard,touch,ethernet,release year,warranty,warranty desc.,type,CPU score,score,url,updated,discovered,scanned
12E3005CUS,77,1667.0,1769.0,100.0,102.0,ThinkCentre M70q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i7-13700T,0,DDR4,1000,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2024,3 Year,"3-year, Onsite3Y Premier Support Upgrade from 3Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-4-12e3005cus-desktop-computer/12e3005cus,09/15/2024,09/17/2024,1
FV8NH,1685,1132.0,1943.58,97.0,812.0,OptiPlex 7000 7020,Dell,Desktop Computer,Tiny,Intel Core i5-14500T,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,No,English (US),N/A,N/A,2024,3 Year,3Y Basic Onsite Service after remote diagnosis with Hardware-Only Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7020-desktop-computer/fv8nh,09/15/2024,09/17/2024,1
11JN0094CA,59,1090.0,1139.0,50.0,49.0,ThinkCentre M75q Gen 2,Lenovo,Desktop Computer,Tiny,AMD Ryzen 5 PRO 5650GE,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,3 Year,"Base Warranty 3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m75q-gen-2-11jn0094ca-desktop-computer/11jn0094ca,09/15/2024,09/17/2024,1
12JF0000CA,7,1039.0,1049.0,25.0,0,ThinkCentre neo 50s Gen 4,Lenovo,Desktop Computer,SFF,Intel Core i5-13400,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,3 Year,"Base Warranty 1-year,Onsite Included Upgrade 3Y Onsite upgrade from 1Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-neo-50s-gen-4-12jf0000ca-desktop-computer/12jf0000ca,09/15/2024,09/17/2024,1
1WRXW,471,1030.0,2066.24,269.0,1000.0,OptiPlex 7000 7020,Dell,Desktop Computer,Tiny,Intel Core i5-14500T,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,Yes,English (US),N/A,N/A,2024,3 Year,3Y Basic Onsite Service after remote diagnosis with Hardware-Only Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7020-desktop-computer/1wrxw,09/15/2024,09/17/2024,1
A12GRUT#ABA,680,1655.0,1909.0,250.0,254.0,Elite Mini 800 G9,HP,Desktop Computer,Tiny,Intel Core i7-14700T,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,"3 year (3/3/3) limited warranty includes 3 years of parts, labor and on-site repair.",desktop,,N/A,https://www.directdial.com/ca/item/hp-elite-mini-800-g9-desktop-computer/a12grut-aba,09/15/2024,09/17/2024,1
12E90013CA,9,1445.0,1509.0,0.0,64.0,ThinkCentre M80q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i5-13500T,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,3 Year,"3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m80q-gen-4-12e90013ca-desktop-computer/12e90013ca,09/15/2024,09/17/2024,1
11T300C9CA,6,1316.0,1309.0,0.0,0,ThinkCentre M70q Gen 3,Lenovo,Desktop Computer,Tiny,Intel Core i5-12400T,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-3-11t300c9ca-desktop-computer/11t300c9ca,09/15/2024,09/17/2024,1
12DN0010CA,23,1828.0,1819.0,0.0,0,ThinkCentre M70s Gen 4,Lenovo,Desktop Computer,SFF,Intel Core i7-13700,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,3 Year,"Base Warranty 3-year, OnsiteIncluded Upgrade 3Y Premier Support Upgrade from 3Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70s-gen-4-12dn0010ca-desktop-computer/12dn0010ca,09/15/2024,09/17/2024,1
G2V4X,566,1052.0,2317.16,394.0,1000.0,OptiPlex 7000 7020,Dell,Desktop Computer,SFF,Intel Core i5-14500,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,No,English (US),N/A,N/A,2024,3 Year,3Y Basic Onsite Service after remote diagnosis with Hardware-Only Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7020-desktop-computer/g2v4x,09/15/2024,09/17/2024,1
